id,split,V,A,D,text,V_GPT,A_GPT,D_GPT
Madame_White_Snake_6740_6867,train,3,2.9,3,"Her husband becomes a monk, and this further implicates Lady White Snake, this time from a Buddhist perspective.",5,5,5
hotel-california_3868_3881,train,2.67,3,2.89,They didn't.”,3,5,3
110CYL070_587_626,dev,3,3.4,3.1,Who has benefited from our partnership?,5,5,6
SemEval_1007,train,2.75,2.88,3.25,"Iran says Sunnis, using Pakistan as base, planned fatal bombing",2,7,7
IntroDublin_4287_4453,train,3.1,3.1,3.1,The city’s impact on the rock and pop music scene with the likes of U2 and Bob Geldof is well known — there’s even a self-guided tour of their haunts.,7,5,5
easy_money_14142_14201,dev,2.5,3.2,2.8,I worried for just a moment when I started waving my hands.,4,4,2
20020731-nyt_40175_40250,train,3,2.9,3.1,"The case was the subject of Joe McGinniss' best-selling book ""Blind Faith.""",5,5,5
SemEval_564,train,3.3,3.3,3.2,Virtual 'American Idol' hits right notes,7,5,5
112C-L015_1247_1334,train,3.55,2.91,3.27,A gift to Pleasant Run means the children in our care will have presents to open.,8,5,3
blog-monastery_4360_4407,test,3,3,3.2,Compassion and anger were the session's topics.,5,5,5
wsj_1640_182_323,train,2.86,3,3.14,That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage.,5,3,5
wsj_0127_928_1005,train,2.44,3,2.89,"Earnings were hurt by disposal of operations in its restructuring, Reed said.",3,3,5
cable_spool_fort_1931_1980,train,2.6,3.1,2.3,Chad wished he were old enough to be one of them.,5,3,2
NYTnewswire1_1631_1745,train,2.9,3.2,3.1,"""From a realistic standpoint, were we going to find an outfielder that pushed one of our outfielders to the bench?",5,3,5
116CUL034_18_33,train,3,2.7,3,"October 7, 1996",5,1,5
115CVL035_676_981,train,3.5,3.4,3.2,"The centers that serve these areas, Mary Rigg Neighborhood Center, Hawthorne Community Center, Southwest Multi-Service Center, and Christamore House, have teamed up to run an exciting job readiness program for 14 and 15 year old area residents called the Summer Enrichment Program.",8,5,5
NYTnewswire9_4804_4910,train,3,2.83,3,"Almost overnight, Wendover became a high-security base filled with off-limit areas covered in barbed wire.",3,6,7
The_Black_Willow_4463_4529,train,1.9,3.8,2.8,"He pounded his desk in vain, cursing the foul muse that drove him.",2,7,3
The_Black_Willow_6556_6753,train,2.71,3.29,3.14,"Every action you take to deny it nourishment will bring you closer to your goal; and believe me, Allan, you must take every opportunity to quash this uncivilized obsession if you intend to publish.",3,6,8
Tupelo-Honey-Cafe_2974_3027,dev,3,2.9,3.2,"Take a few photos of the menu, the kitchen, the food.",5,3,5
20020731-nyt_38836_39008,train,3,2.9,3,"Two of the court's members, Chief Justice Deborah T. Poritz and Justice Peter G. Verniero, did not participate in the Nelson case because both are former attorneys general.",5,3,5
WhereToHongKong_41533_41607,train,3.1,3.1,3.2,"Its spin-off industries, prostitution and pawn shops, also thrive.",3,5,6
20000410_nyt-NEW_568_743,train,2.6,3.1,2.9,"Iraq has been under economic sanctions since the war ended, which some say have thwarted the country's ability to recover from the devastation of the bombing campaign.",2,3,3
Fermentation_Eminent-Domain_1311_1383,train,2.6,3,2.9,"County, consumers learn absolutely nothing about the wine in the bottle.",3,3,5
hotel-california_17419_17462,test,3,3.1,2.9,Did you hear what the captain said earlier?,5,5,5
captured_moments_12243_12538,train,2.5,3.3,2.8,"I want to pick up with Tasha and me walking about The Sleeping Flamingo, and then, for the sake of literary convenience, to say that from a corner of the yard I saw a neighboring house, and the sight filled me with darkest forebodings.",2,5,3
lessig_blog-carbon_1023_1036,train,2.4,2.6,3,No such luck.,3,3,3
Bartok_16857_17075,train,3.18,3.09,3.18,"As Paul Wilson states, the development “is, for Bartók’s music, developmental in a relatively conventional way”; the themes from the exposition are expanded and modified, and tonalities other than those expected arise.",5,3,5
Tupelo-Honey-Cafe_2717_2782,dev,3.11,2.89,3.33,I stopped so I could take the rest home and taste it again later.,7,2,5
aspca1_919_1034,train,3,2.86,3.14,I have sent you the enclosed complimentary name-and-address labels to call your attention to the work of the ASPCA.,6,3,5
113CWL017_776_923,train,3.1,3.2,3,"In addition to the fun stuff, important life-skills such as self-esteem, leadership, and interpersonal cooperation are being developed.",8,5,6
appalachian1_2386_2525,train,3,2.88,3,And we’re working with the National Park Service in upgrading the trail system in the Delaware Water Gap and Acadia National Park in Maine.,7,3,5
wsj_0158_1126_1227,train,3.22,3.11,3.44,"""If I were choosing the people of tomorrow, I would have chosen the people who are now on the board,""",5,5,6
hotel-california_23464_23517,train,3,2.6,2.8,"He dropped the pecans back into the dish, one by one.",5,2,5
captured_moments_30724_30800,train,3,3,3,I muttered something he must have interpreted as assent.,4,2,2
NYTnewswire1_4119_4221,train,1.6,2.9,2.5,"""Obviously I'm disappointed to go from a team playing for first place to a team that isn't contending.",3,4,3
20020731-nyt_5551_5818,dev,3,2.82,3,"That information included witness statements, store receipts and other documents indicating that Chang had paid for expensive items given to Torricelli, his sister, one of his longtime aides, Roberta Stern, and one of Torricelli's former girlfriends, Judy D. Balaban.",3,5,5
Ant_Robot_26480_26530,train,3,3,3,The first function might look something like this:,5,3,5
captured_moments_8829_8859,train,2.75,2.88,3.12,"Why else would I come to you?""",3,6,7
HistoryLasVegas_5049_5185,dev,3.62,3.25,3,"Through 1905, Helen Stewart expanded the ranch to 2000 acres (810 hectares), making quite a bit of money in the process.",5,5,7
HistoryLasVegas_14433_14521,train,2.88,3.25,3,"Hughes’ actions would have beneficial repercussions, both immediate and lasting.",8,3,7
detroit_10463_10549,train,2.6,3.3,3.1,"They lack the means to build her back to her former glory, but she won't be abandoned.",5,4,3
SemEval_999,train,3.2,3.1,3.1,Glamour -- and 'Borat' -- at Golden Globes,5,6,5
hotel-california_33775_33797,test,2.78,2.89,2.89,"Life boats, I thought.",5,5,3
lw1_3116_3283,train,3,2.9,2.9,"His eyes had been treated and darkened to a rich purple to disguise the brilliant golden yellow color that would mark him as an Alpha Arrallin, and leader of his hive.",5,3,7
captured_moments_18270_18325,train,3.6,3.8,3.2,He's had shows in Brazil and New Madrid and everywhere!,7,7,7
NYTnewswire7_4938_5179,train,3,3,3.1,"The conservation groups providing information to chefs and retailers and lists of environmentally appropriate seafoods to consumers are the same groups working to affect fisheries management on the political and regulatory level, Moore said.",6,5,5
Ant_Robot_13317_13447,train,3,2.89,3.11,"These will correspond to the muscles of the ant’s mandibles, which provide sensorimotor feedback to the ant when grasping objects.",5,3,5
detroit_16938_17038,train,2.7,3.7,2.8,"I, too checked out a few listings for under $1,000 and was absolutely shocked at the property taxes.",3,6,3
captured_moments_27217_27254,train,2.83,3.17,2.67,"It's not easy for me to ask a favor.""",4,4,3
SemEval_1302,train,2.6,2.9,2.9,Gronholm ahead as Solberg crashes,3,7,7
cable_spool_fort_5379_5504,train,2.4,3.1,2.9,"From painful experience, he knew it wasn't going to be as easy as just pretending he was too slow or too weak to do anything.",2,4,2
110CYL069_18_35,train,3.1,3.1,3.1,"November 15, 1996",5,1,5
Nathans_Bylichka_3597_3635,train,3.09,3.18,2.73,She waved down a car and pulled me in.,5,6,7
Nathans_Bylichka_29927_29965,train,2.9,2.8,3.1,"“They take about a quarter-pint each,”",5,3,5
easy_money_15725_15739,train,2.8,3.2,3.2,I out of here.,3,6,3
warner1_311_454,train,3.63,3.63,3.45,"DTV—Digital Television from Time Warner Cable—is now available in your neighborhood, and we’d like you to be one of the first to experience it!",6,6,6
wsj_1640_3364_3506,train,3.1,3,3,"Among the responses the Swiss trader got was one from the Soviet national shipping company, which hadn't been invited to submit a bid.",5,3,5
117CWL008_145_299,train,3.56,3,3,"The 9th annual JCC Auction will benefit the numerous scholarship programs of the Jewish Community Center of Indianapolis, a United Way agency.",7,3,5
Fermentation_Eminent-Domain_5438_5532,train,2.2,3.4,3.1,I still don't know whose interests are being served by this useless piece of crap legislation.,2,7,3
Nathans_Bylichka_21286_21329,train,3,2.9,3,“We’d like to see a man about some garlic.”,5,3,5
Nathans_Bylichka_44673_44708,train,3.55,3.45,3.09,"Amy leaned forward, looking amazed.",7,6,5
SemEval_1272,train,3.5,2.9,3,"Siesta cuts risk of heart disease death, study finds",7,3,5
SemEval_226,train,3.1,3,3,Yankee pitcher's pilot log found,5,5,5
Nathans_Bylichka_44590_44632,train,3,2.86,3.14,Isis closed her eyes and lifted her hands.,5,3,5
117CWL008_1187_1350,test,3.11,3.11,3.11,One of us will call you to discuss how your company can become an important highly visible partner with the JCC in support of our scholarship programs.,7,3,7
Uprooted_Bike_139_226,test,3,2.9,3.4,"Come back Friday to read about anarchy, bike jousting, and two-wheeled social protest .",5,6,5
Ohio_Steel_20091_20172,train,2.63,3.12,2.75,"Hundreds more joined the unemployment lines, or even began living on the streets.",1,7,2
112C-L015_18_47,test,3,3.14,3,Dear Friends of Pleasant Run:,5,3,5
Nathans_Bylichka_15386_15430,train,3.11,3,3.11,I waved goodbye to the hunchback as we left.,5,3,3
Nathans_Bylichka_38604_38677,train,3.4,3,3.1,He held the door for me and Amy when we reached the bottom of the stairs.,7,1,3
A_defense_of_Michael_Moore_6036_6100,train,2.7,3,2.8,"""Typically, you're looking at a week to 10 days waiting period.""",5,3,5
A_defense_of_Michael_Moore_28503_28678,test,3.11,3.11,3.22,"His next project has the working title ""Fahrenheit 9/11: The temperature at which freedom burns"", and he intends to launch it shortly before the next US presidential election.",5,6,7
20020731-nyt_4655_4679,dev,3.1,3.2,3,"""material and credible.""",5,5,5
WhereToHongKong_10916_11084,test,2.67,3.11,3.11,"Just to the east of the financial district, Wan Chai was once an area of sleazy clubs and topless bars; this was the setting for The World of Suzy Wong.",5,3,5
Madame_White_Snake_10983_11172,train,3.12,3,3,"She writes, “the final ‘lesson’ of the myth often fades into the background and we retain the image of the erotic, strong, unrepressed (if destructive) woman.”",5,5,6
Nathans_Bylichka_13596_13672,train,2.9,3.3,2.8,“I …I noticed him from across the room when I was looking around for Rachel.,5,3,2
marine1_1448_1698,train,3.75,3.5,3.5,"At a price nearly half off the regular membership dues, you will receive a host of member benefits (more on these in a moment)_and, far more important the satisfaction of actually doing something to improve the ocean world we pass on to our children.",8,5,5
Nathans_Bylichka_7301_7316,train,2.82,2.91,3.18,…Rachel Frieze.,5,5,5
Nathans_Bylichka_26890_26934,train,3,3.1,3.1,“but may I ask what is kept in these rooms?”,5,3,2
